INSERT INTO IsFriendsWith VALUES('Jam5', 'Nev34')
INSERT INTO IsFriendsWith VALUES('Eli84', 'Ale67')
INSERT INTO IsFriendsWith VALUES('Eli84', 'Bri84')
INSERT INTO IsFriendsWith VALUES('Eli84', 'Owe97')
INSERT INTO IsFriendsWith VALUES('Eli84', 'Han83')
INSERT INTO IsFriendsWith VALUES('Eli84', 'Eth22')
INSERT INTO IsFriendsWith VALUES('Aud34', 'Bri84')
INSERT INTO IsFriendsWith VALUES('Aud34', 'Han83')
INSERT INTO IsFriendsWith VALUES('Aud34', 'Eth22')
INSERT INTO IsFriendsWith VALUES('Luk19', 'Kat8')
INSERT INTO IsFriendsWith VALUES('Luk19', 'Owe97')
INSERT INTO IsFriendsWith VALUES('Luk19', 'Kat82')
INSERT INTO IsFriendsWith VALUES('Luk19', 'Col91')
INSERT INTO IsFriendsWith VALUES('Luk19', 'cmw78')
INSERT INTO IsFriendsWith VALUES('Ale67', 'Bri84')
INSERT INTO IsFriendsWith VALUES('Ale67', 'Kat82')
INSERT INTO IsFriendsWith VALUES('Ale67', 'Aub27')
INSERT INTO IsFriendsWith VALUES('Ale67', 'cmw78')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Kat8')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Aub27')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Jer83')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Tho16')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Owe97')
INSERT INTO IsFriendsWith VALUES('Bri84', 'Eth22')
INSERT INTO IsFriendsWith VALUES('Owe97', 'Kat8')
INSERT INTO IsFriendsWith VALUES('Owe97', 'Kat82')
INSERT INTO IsFriendsWith VALUES('Owe97', 'Aub27')
INSERT INTO IsFriendsWith VALUES('Owe97', 'Cha68')
INSERT INTO IsFriendsWith VALUES('Owe97', 'Jer83')
INSERT INTO IsFriendsWith VALUES('cmw78', 'Kat8')
INSERT INTO IsFriendsWith VALUES('cmw78', 'Tho16')
